"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
41,2,14,-0.2,-0.286224442237943,0.64799701626497,20,0,TRUE,0
41,3,9,0.133333333333333,0.0813281534148169,0.771064565768597,20,0,TRUE,0
41,4,12,-0.0166666666666667,-0.146640662697642,0.66865617921349,20,0,TRUE,0
41,5,4,0.15,-0.539916406798157,0.467809119212035,20,0,TRUE,0
42,1,20,-0.22,-0.219683086975937,0.63330377780816,20,0.0035,TRUE,0
42,2,8,-0.1,0.0933499192095092,0.764300960423882,20,0.0035,TRUE,0
42,3,6,0.1,0.610217493208594,1.09872936176793,20,0.0035,TRUE,0
42,4,1,1.2,1.26247547935892,1.45188820695641,20,0.0035,TRUE,0
43,1,20,-0.19,-0.388345506163977,0.597806279262353,20,0,FALSE,0
43,2,17,-0.0235294117647059,0.0647755326123313,0.799107751425519,20,0,FALSE,0
43,3,17,-0.341176470588235,-0.251412783453532,0.630198804127898,20,0,FALSE,0
43,4,12,-0.333333333333333,-0.720395996005622,0.477413449701809,20,0,FALSE,0
43,5,5,0.04,0.519705906780783,1.00800913450363,20,0,FALSE,0
43,6,9,-0.377777777777778,-0.177904750192631,0.683747787503203,20,0,FALSE,0
43,7,4,-0.45,0.221998049892782,0.858213303817878,20,0,FALSE,0
43,8,4,0.2,-0.759040165297257,0.387096011706345,20,0,FALSE,0
43,9,6,0.0333333333333333,0.522135909067133,0.999155901023034,20,0,FALSE,0
43,10,4,-0.3,-0.284538088740283,0.641568642733398,20,0,FALSE,0
43,11,4,1.38777878078145e-17,-0.130147483262072,0.71419433673978,20,0,FALSE,0
44,1,20,0.41,0.432643220479077,0.957588844732351,20,0.0035,FALSE,0
44,2,14,0.128571428571429,-0.123462136253442,0.721298010351704,20,0.0035,FALSE,0
44,3,4,0.75,0.819948669845048,1.18159511030106,20,0.0035,FALSE,0
44,4,1,1,-0.581549210936701,0.413064309857896,20,0.0035,FALSE,0
45,1,100,-0.026,0.0493059249352543,0.776894523431108,100,0,TRUE,0
45,2,59,0.24406779661017,0.21684828414851,0.859883583417068,100,0,TRUE,0
45,3,52,0.638461538461538,0.871205593263092,1.19904325432437,100,0,TRUE,0
45,4,64,0.815625,0.696107582024344,1.10762816082117,100,0,TRUE,0
45,5,70,0.848571428571429,0.896406273613296,1.20927399546891,100,0,TRUE,0
45,6,68,0.891176470588235,1.02786230810704,1.25269409588312,100,0,TRUE,0
45,7,72,0.841666666666667,0.863444462918199,1.16670168460173,100,0,TRUE,0
45,8,76,0.942105263157895,0.879805357051917,1.19610179626307,100,0,TRUE,0
45,9,96,1.1,1.05776068442001,1.26718811221223,100,0,TRUE,0
45,10,131,1.24427480916031,1.19418021570626,1.35007924954948,100,0,TRUE,0
45,11,142,1.14929577464789,1.13539546249274,1.3244216286854,100,0,TRUE,0
45,12,190,1.19052631578947,1.19550432818633,1.35369577825886,100,0,TRUE,0
45,13,262,1.25419847328244,1.25237973523867,1.3949692253008,100,0,TRUE,0
45,14,371,1.38274932614555,1.40304880302279,1.45242442225404,100,0,TRUE,0
45,15,562,1.4373665480427,1.39085577576992,1.44179071893147,100,0,TRUE,0
46,1,100,0.012,0.0292667681130982,0.783311493001578,100,0.0035,TRUE,0
46,2,43,0.13953488372093,0.0563830102668142,0.778652177148656,100,0.0035,TRUE,0
46,3,14,0.642857142857143,0.482306698240932,1.02058169247136,100,0.0035,TRUE,0
46,4,18,0.455555555555556,0.484856509459066,0.983236339638403,100,0.0035,TRUE,0
46,5,32,0.39375,0.351379029799007,0.914422447859582,100,0.0035,TRUE,0
46,6,38,0.352631578947368,0.354215723216061,0.922291298529572,100,0.0035,TRUE,0
46,7,49,0.485714285714286,0.53908614816486,1.01688450005176,100,0.0035,TRUE,0
46,8,51,0.811764705882353,0.769581871493662,1.14016477899004,100,0.0035,TRUE,0
46,9,32,0.8125,0.927265758927946,1.24232031997327,100,0.0035,TRUE,0
46,10,14,0.814285714285714,0.355194773877523,0.93008561048175,100,0.0035,TRUE,0
46,11,6,1.3,1.18108903293162,1.38833486200361,100,0.0035,TRUE,0
46,12,11,1.56363636363636,1.936423515613,1.63939593379648,100,0.0035,TRUE,0
46,13,24,1.68333333333333,1.48524025008209,1.48122594371017,100,0.0035,TRUE,0
46,14,57,1.70175438596491,1.84854531788298,1.6580659780944,100,0.0035,TRUE,0
46,15,80,1.5425,1.42010224599379,1.48620442013056,100,0.0035,TRUE,0
47,1,100,0.046,0.117386662267315,0.818340211397235,100,0,FALSE,0
47,2,88,0.00681818181818181,-0.0702860762909235,0.720031595424972,100,0,FALSE,0
47,3,59,-0.0949152542372881,-0.0176662025355456,0.756855455244265,100,0,FALSE,0
47,4,37,-0.27027027027027,-0.558959509529099,0.505277496921028,100,0,FALSE,0
47,5,24,-0.0583333333333333,0.192800309016298,0.839742620638396,100,0,FALSE,0
47,6,29,0.00689655172413793,-0.105603701703055,0.715996087716397,100,0,FALSE,0
47,7,23,0.252173913043478,0.344314616374104,0.911641466933308,100,0,FALSE,0
47,8,19,-0.0315789473684211,0.00855400987550096,0.744590487955018,100,0,FALSE,0
47,9,13,0.292307692307692,0.186341137168095,0.846030297083104,100,0,FALSE,0
47,10,9,0.311111111111111,0.255102804749083,0.876778233737405,100,0,FALSE,0
47,11,4,-0.05,0.112681031008851,0.760573049372516,100,0,FALSE,0
48,1,100,-0.006,0.0315008374246246,0.771613451572799,100,0.0035,FALSE,0
48,2,41,0.0829268292682927,-0.0416249829931689,0.732107287376001,100,0.0035,FALSE,0
48,3,31,0.0645161290322581,0.0244078255885192,0.758840552174745,100,0.0035,FALSE,0
48,4,7,-0.257142857142857,-0.288299885307453,0.623268731911814,100,0.0035,FALSE,0
48,5,5,-0.44,-0.535900414763874,0.501533179437936,100,0.0035,FALSE,0
49,1,20,-0.04,-0.328655197168044,0.603969378661838,20,0,TRUE,0
49,2,10,-0.04,-0.302425985900107,0.614147794553968,20,0,TRUE,0
49,3,6,-0.166666666666667,-0.467487031532509,0.509323804339067,20,0,TRUE,0
49,4,2,0,0.623364649299085,1.04604282754871,20,0,TRUE,0
50,1,20,-0.08,-0.111902175631941,0.678788669387935,20,0.0035,TRUE,0
50,2,4,0.15,0.15935891030488,0.847788636941891,20,0.0035,TRUE,0
51,1,20,-0.04,-0.136789872232773,0.717873452166878,20,0,FALSE,0
51,2,3,0.2,-0.427819207898886,0.506662514897321,20,0,FALSE,0
51,3,3,0.6,0.724888612059676,1.11647900385214,20,0,FALSE,0
51,4,3,0.2,-0.428770813213689,0.505209486340522,20,0,FALSE,0
52,1,20,-0.03,0.00108780907193186,0.733376974206307,20,0.0035,FALSE,0
52,2,14,-0.4,-0.38690054091215,0.570478853586732,20,0.0035,FALSE,0
52,3,3,0.333333333333333,1.09011939738063,1.34217944786993,20,0.0035,FALSE,0
53,1,100,-0.068,-0.0980127972158465,0.718695794656976,100,0,TRUE,0
53,2,72,0.0444444444444444,-0.140383383119913,0.712150895230311,100,0,TRUE,0
53,3,47,0.246808510638298,0.309199732751465,0.888312951502997,100,0,TRUE,0
53,4,40,0.33,0.272922347672946,0.878429065713431,100,0,TRUE,0
53,5,35,0.302857142857143,0.236944519660883,0.865598762441555,100,0,TRUE,0
53,6,29,0.558620689655172,0.620102377192318,1.06440872466522,100,0,TRUE,0
53,7,26,1,0.940573029258435,1.22021150479268,100,0,TRUE,0
53,8,31,1.36129032258065,1.42124614267931,1.38907979673036,100,0,TRUE,0
53,9,35,1.81142857142857,1.92188566827322,1.53492268069007,100,0,TRUE,0
53,10,55,1.76727272727273,1.67918501974867,1.54398824999854,100,0,TRUE,0
53,11,92,1.88260869565217,1.93718667802644,1.66556718406232,100,0,TRUE,0
53,12,175,1.87657142857143,1.84275626266779,1.63667772348318,100,0,TRUE,0
53,13,339,1.9646017699115,1.96197027350134,1.67627256156131,100,0,TRUE,0
53,14,653,1.97427258805513,1.97400077695189,1.68852357417418,100,0,TRUE,0
53,15,1098,2.01857923497268,2.06172603725765,1.7075266666061,100,0,TRUE,0
54,1,100,-0.008,0.0464118656317606,0.772335380734997,100,0.0035,TRUE,0
54,2,45,0.337777777777778,0.309420495163481,0.901259913883187,100,0.0035,TRUE,0
54,3,27,0.422222222222222,0.442858410251561,0.932219226955277,100,0.0035,TRUE,0
54,4,25,0.408,0.248396619688918,0.864741164258685,100,0.0035,TRUE,0
54,5,13,0.553846153846154,0.366471351453871,0.923032163988998,100,0.0035,TRUE,0
54,6,7,0.457142857142857,0.952899596257809,1.23539333035341,100,0.0035,TRUE,0
54,7,11,0.327272727272727,0.219930160068087,0.831051593874912,100,0.0035,TRUE,0
54,8,6,0.266666666666667,-0.191078345113397,0.635606042972371,100,0.0035,TRUE,0
55,1,100,0.014,-0.119691646533417,0.694987304930397,100,0,FALSE,0
55,2,72,-0.0277777777777778,0.0060331661373955,0.756895646594352,100,0,FALSE,0
55,3,56,0.0964285714285714,0.121903102160466,0.818368913548886,100,0,FALSE,0
55,4,41,-0.0926829268292683,-0.41890228076459,0.589268021544691,100,0,FALSE,0
55,5,28,-0.00714285714285714,-0.129606236367361,0.700681125693793,100,0,FALSE,0
55,6,11,0.0727272727272727,0.276436393497737,0.895421804458677,100,0,FALSE,0
55,7,7,0.0857142857142857,0.164513332667272,0.816476748590926,100,0,FALSE,0
55,8,4,0.3,-0.210787363655862,0.632634389825933,100,0,FALSE,0
55,9,2,0.5,-0.12521844202602,0.630600395076752,100,0,FALSE,0
56,1,100,-0.042,-0.116858196704451,0.709682927449907,100,0.0035,FALSE,0
56,2,75,0.096,-0.0588075252676464,0.74856366596626,100,0.0035,FALSE,0
56,3,53,-0.0188679245283019,-0.183882392392561,0.674647598728685,100,0.0035,FALSE,0
56,4,51,0.0156862745098039,0.147640890703643,0.837748596424988,100,0.0035,FALSE,0
56,5,31,0.167741935483871,0.33504864672429,0.926073017218295,100,0.0035,FALSE,0
56,6,28,0.121428571428571,-0.0942267724928142,0.724192782231814,100,0.0035,FALSE,0
