"trial","gen","n","gbar","zbar","wbar","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
3635,4,11,0.4,-0.0310767689468526,0.71385227782923,0.04,0,0.374710743801653,20,0,FALSE,5,TRUE
3635,5,4,0.75,1.38112280396031,1.50190904560616,0.08,0.08,0.32625,20,0,FALSE,5,TRUE
3636,1,20,0.12,0.0251192528431069,0.77571725499338,0,0,0.4836,20,0,FALSE,15,FALSE
3636,2,14,0.128571428571429,-0.0363386048911707,0.732022922718819,0,0,0.461122448979592,20,0,FALSE,15,FALSE
3636,3,13,-0.0153846153846154,0.228070725168805,0.873752673812484,0,0,0.434082840236686,20,0,FALSE,15,FALSE
3636,4,9,0.511111111111111,0.63281101530634,1.08633866283311,0,0,0.405925925925926,20,0,FALSE,15,FALSE
3636,5,8,1.65,1.70133687076105,1.55569203649565,0.24,0.04,0.221875,20,0,FALSE,15,FALSE
3636,6,7,1.37142857142857,1.41384507737244,1.53689658587603,0.28,0.12,0.229795918367347,20,0,FALSE,15,FALSE
3636,7,20,1.37,1.53971125109903,1.54879368809791,0.28,0.12,0.22195,20,0,FALSE,15,FALSE
3636,8,47,1.42978723404255,1.29611532491277,1.437642966889,0.28,0.12,0.21143503847895,20,0,FALSE,15,FALSE
3636,9,54,1.37777777777778,1.2953291593672,1.41851311159023,0.28,0.12,0.206282578875171,20,0,FALSE,15,FALSE
3636,10,71,1.25915492957746,1.24606258318452,1.42334791824714,0.28,0.12,0.205697282285261,20,0,FALSE,15,FALSE
3636,11,127,1.26456692913386,1.33344033856972,1.44454465484645,0.28,0.12,0.205126170252341,20,0,FALSE,15,FALSE
3636,12,154,1.31558441558442,1.39505285937736,1.46853469873932,0.32,0.12,0.200866081969978,20,0,FALSE,15,FALSE
3636,13,246,1.38943089430894,1.51230205954197,1.53135533131687,0.32,0.12,0.194992729195585,20,0,FALSE,15,FALSE
3636,14,406,1.42315270935961,1.38178335476998,1.46168097659457,0.32,0.12,0.196322769297969,20,0,FALSE,15,FALSE
3636,15,631,1.48399366085578,1.53346408419943,1.53879509437159,0.32,0.12,0.196991618968206,20,0,FALSE,15,FALSE
3637,1,20,0.04,0.225002130528032,0.848871516059911,0,0,0.4926,20,0,FALSE,15,FALSE
3637,2,17,-0.0588235294117647,0.268564566208839,0.888076963208527,0,0,0.460899653979239,20,0,FALSE,15,FALSE
3637,3,13,0.184615384615385,0.422836238340958,0.982134345382722,0,0,0.406272189349112,20,0,FALSE,15,FALSE
3637,4,12,0.55,0.666278864882995,1.01101337288258,0,0,0.402361111111111,20,0,FALSE,15,FALSE
3637,5,9,0.533333333333333,0.736616775122541,1.14390429047078,0.08,0,0.39037037037037,20,0,FALSE,15,FALSE
