"trial","gen","n","g","z","w","sourcepops","n.pop0","alpha","evolve","block","repct"
25,4,18,0.466666666666667,0.617947565462914,1.06058035819318,4,20,0,TRUE,4,1
25,5,16,0.575,0.493511172346453,0.992164072422855,4,20,0,TRUE,4,1
25,6,16,0.5375,0.174209440684059,0.796138269189098,4,20,0,TRUE,4,1
25,7,17,0.529411764705882,0.899351428255311,1.22226379801292,4,20,0,TRUE,4,1
25,8,26,0.607692307692308,0.53336119235209,1.02855529467203,4,20,0,TRUE,4,1
25,9,23,0.834782608695652,1.08800235680457,1.32596187887296,4,20,0,TRUE,4,1
25,10,51,0.988235294117647,1.17800975191691,1.35378893191522,4,20,0,TRUE,4,1
25,11,61,1.1016393442623,1.07522108868058,1.29524855778956,4,20,0,TRUE,4,1
25,12,63,1.24444444444444,1.27519865083418,1.40659983318114,4,20,0,TRUE,4,1
25,13,81,1.19753086419753,1.21202199706897,1.36107241149895,4,20,0,TRUE,4,1
25,14,98,1.18979591836735,1.24318108997894,1.37589906992864,4,20,0,TRUE,4,1
25,15,143,1.21958041958042,1.2041896068886,1.36653238958325,4,20,0,TRUE,4,1
26,1,100,0.144,0.216080484208659,0.855318411390138,4,100,0,TRUE,4,1
26,2,76,0.163157894736842,0.221071597335141,0.863197997177832,4,100,0,TRUE,4,1
26,3,59,0.11864406779661,0.0550615281145418,0.78993096347823,4,100,0,TRUE,4,1
26,4,61,0.442622950819672,0.516557014756336,1.01159332140556,4,100,0,TRUE,4,1
26,5,67,0.588059701492537,0.722520734276359,1.12564576846961,4,100,0,TRUE,4,1
26,6,75,0.642666666666667,0.715054810892614,1.11662595402238,4,100,0,TRUE,4,1
26,7,81,0.511111111111111,0.520926908220286,1.0142830178386,4,100,0,TRUE,4,1
26,8,65,0.649230769230769,0.566969359496449,1.02764128063659,4,100,0,TRUE,4,1
26,9,41,0.682926829268293,0.526955043295106,1.0032618726924,4,100,0,TRUE,4,1
26,10,42,0.619047619047619,0.525883845003914,1.01104934885871,4,100,0,TRUE,4,1
26,11,56,0.703571428571429,0.74343473865415,1.13424723223304,4,100,0,TRUE,4,1
26,12,79,0.79493670886076,0.875779652350042,1.18296760537238,4,100,0,TRUE,4,1
26,13,85,0.727058823529412,0.705251326647511,1.09996586310772,4,100,0,TRUE,4,1
26,14,89,0.768539325842697,0.837812069273121,1.17710237447966,4,100,0,TRUE,4,1
26,15,96,0.808333333333333,0.840339185274114,1.18239224052307,4,100,0,TRUE,4,1
27,1,20,-0.12,-0.129820000111063,0.670726497636908,4,20,0,FALSE,4,1
27,2,19,0.2,0.347233488008753,0.893848586432737,4,20,0,FALSE,4,1
27,3,18,0.0333333333333333,0.219854160165664,0.871903974603572,4,20,0,FALSE,4,1
27,4,17,0.164705882352941,0.211831802033807,0.874475354684438,4,20,0,FALSE,4,1
27,5,15,-0.213333333333333,-0.0737907974043421,0.760599773049254,4,20,0,FALSE,4,1
27,6,7,-0.0571428571428571,0.394735087047632,0.962895188405003,4,20,0,FALSE,4,1
27,7,11,0.145454545454545,0.00602436163770472,0.767796885914701,4,20,0,FALSE,4,1
27,8,11,-0.272727272727273,-0.165287495831788,0.649148362393829,4,20,0,FALSE,4,1
27,9,9,-0.111111111111111,-0.163724085156955,0.708902348431742,4,20,0,FALSE,4,1
27,10,4,0.25,0.763193181030777,1.17702955808797,4,20,0,FALSE,4,1
28,1,100,0.142,0.099374795986652,0.793425924764934,4,100,0,FALSE,4,1
28,2,73,-0.0602739726027397,-0.0762497639510558,0.724731365401238,4,100,0,FALSE,4,1
28,3,44,0.05,-0.129317803181131,0.718890044648902,4,100,0,FALSE,4,1
28,4,34,0.0176470588235294,-0.0704698076157262,0.760361631995832,4,100,0,FALSE,4,1
28,5,38,0.0421052631578947,0.0440783949032984,0.811974340958686,4,100,0,FALSE,4,1
28,6,39,0.0153846153846154,0.0679284367475804,0.802239573447183,4,100,0,FALSE,4,1
28,7,20,-0.1,-0.15670625850519,0.662346689224912,4,100,0,FALSE,4,1
28,8,15,-0.186666666666667,-0.257626036617742,0.637398537755447,4,100,0,FALSE,4,1
28,9,10,0.36,0.473615725220567,1.01775837875661,4,100,0,FALSE,4,1
28,10,11,0.0727272727272728,0.351027470868313,0.966774763262745,4,100,0,FALSE,4,1
28,11,3,0.466666666666667,0.151543693926478,0.809631905584381,4,100,0,FALSE,4,1
28,12,3,-0.333333333333333,-0.0859160817907947,0.718191478447112,4,100,0,FALSE,4,1
28,13,5,-0.16,-0.650251847229001,0.433661505487107,4,100,0,FALSE,4,1
28,14,1,-0.6,-1.35239521406228,0.184186288716104,4,100,0,FALSE,4,1
29,1,20,0.16,-0.0243272929732572,0.742848799558497,4,20,0.0035,TRUE,4,1
29,2,17,0.0705882352941176,0.0099556123321806,0.737934246150246,4,20,0.0035,TRUE,4,1
29,3,14,0.3,0.383976873066539,0.916855546599237,4,20,0.0035,TRUE,4,1
29,4,18,0.355555555555556,0.530554879591636,1.02651380776964,4,20,0.0035,TRUE,4,1
29,5,16,0.65,0.500966975354364,0.995220135648017,4,20,0.0035,TRUE,4,1
29,6,17,0.458823529411765,0.521456223953015,0.987827361110931,4,20,0.0035,TRUE,4,1
29,7,12,0.566666666666667,0.622045452974322,1.08674841327049,4,20,0.0035,TRUE,4,1
29,8,17,0.611764705882353,0.673349108445834,1.07190064020104,4,20,0.0035,TRUE,4,1
29,9,12,0.416666666666667,0.406143660437842,0.942957431996829,4,20,0.0035,TRUE,4,1
29,10,8,0.4,0.358936495909442,0.898450222713077,4,20,0.0035,TRUE,4,1
29,11,12,0.35,0.39146434446001,0.932099881891279,4,20,0.0035,TRUE,4,1
29,12,14,0.385714285714286,0.668125459550866,1.08980386975773,4,20,0.0035,TRUE,4,1
29,13,16,0.55,0.765412125390456,1.13383901248354,4,20,0.0035,TRUE,4,1
29,14,23,0.4,0.305737177017634,0.875776910430125,4,20,0.0035,TRUE,4,1
29,15,30,0.466666666666667,0.472959545339698,0.973897739577609,4,20,0.0035,TRUE,4,1
30,1,100,0.226,0.305684135237843,0.896669587815332,4,100,0.0035,TRUE,4,1
30,2,50,0.336,0.428772853583997,0.952621441467368,4,100,0.0035,TRUE,4,1
30,3,47,0.285106382978723,0.216839441939658,0.840606489482239,4,100,0.0035,TRUE,4,1
30,4,25,0.36,0.274754150592275,0.886300865187391,4,100,0.0035,TRUE,4,1
30,5,30,0.273333333333333,0.369717419144172,0.92443556125581,4,100,0.0035,TRUE,4,1
30,6,36,0.294444444444444,0.351371379425912,0.916536500240281,4,100,0.0035,TRUE,4,1
30,7,27,0.0814814814814815,0.159500007795633,0.811363616454116,4,100,0.0035,TRUE,4,1
30,8,19,0.0210526315789474,0.0643931109649311,0.760688068173042,4,100,0.0035,TRUE,4,1
30,9,22,0.1,0.19722725796595,0.837894626133818,4,100,0.0035,TRUE,4,1
30,10,16,0.125,0.405529384160922,0.964625792898531,4,100,0.0035,TRUE,4,1
30,11,21,0.20952380952381,0.0564019973276482,0.745518515265645,4,100,0.0035,TRUE,4,1
30,12,6,0.166666666666667,-0.241785985650824,0.601537612220799,4,100,0.0035,TRUE,4,1
30,13,5,0,-0.823206927788843,0.350689491931194,4,100,0.0035,TRUE,4,1
31,1,20,0.41,0.180513577102618,0.861980759029889,4,20,0.0035,FALSE,4,1
31,2,16,0.0375,0.115245882707283,0.863749207178236,4,20,0.0035,FALSE,4,1
31,3,16,0.2125,0.1121671883685,0.818816414464916,4,20,0.0035,FALSE,4,1
31,4,11,-0.218181818181818,-0.449497051283062,0.592504366296269,4,20,0.0035,FALSE,4,1
31,5,4,0.25,0.500343337982915,0.984786510170126,4,20,0.0035,FALSE,4,1
31,6,2,0.1,0.81958418886923,1.17264644916279,4,20,0.0035,FALSE,4,1
32,1,100,0.124,0.270506080798575,0.884774239601239,4,100,0.0035,FALSE,4,1
32,2,52,-0.0461538461538461,0.0940210102661447,0.774417857902738,4,100,0.0035,FALSE,4,1
32,3,22,0.0636363636363636,-0.0440457086868737,0.687989332670242,4,100,0.0035,FALSE,4,1
32,4,7,-0.2,-0.373725487786371,0.610748372538995,4,100,0.0035,FALSE,4,1
32,5,5,0.52,0.697025433761653,1.19631535615844,4,100,0.0035,FALSE,4,1
32,6,6,-0.333333333333333,-0.369979600776814,0.744150847578099,4,100,0.0035,FALSE,4,1
32,7,4,0.2,0.222437319926047,0.839748750678327,4,100,0.0035,FALSE,4,1
32,8,2,0.4,0.927722708117449,1.23806808965192,4,100,0.0035,FALSE,4,1
32,9,1,0,0.743848984537732,1.12250944841389,4,100,0.0035,FALSE,4,1
33,1,20,-0.43,-0.35784914488344,0.627091271974967,5,20,0,TRUE,1,2
33,2,7,-0.228571428571429,-0.301379375204686,0.547104564020564,5,20,0,TRUE,1,2
33,3,1,0.2,-0.0426889695390769,0.65812211648766,5,20,0,TRUE,1,2
34,1,100,-0.61,-0.62781617766629,0.478193462187662,5,100,0,TRUE,1,2
34,2,52,-0.580769230769231,-0.692519381871681,0.438877665978441,5,100,0,TRUE,1,2
34,3,24,-0.591666666666667,-0.526246737056428,0.487439332226154,5,100,0,TRUE,1,2
