"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
60,2,8,0,0,0.485346033609101,2.51494339095171e-05,212
60,2,9,0,0,0.485280114676377,2.58300758097428e-05,179
60,2,10,0,0,0.484552545617535,2.37723705085414e-05,147
60,2,11,0,0,0.485522336170039,1.66794681848558e-05,111
60,2,12,0,0,0.485123484403682,2.15920977436643e-05,94
60,2,13,0,0,0.484208842628238,3.25879771096559e-05,70
60,2,14,0,0,0.485330417839202,2.06047915713993e-05,55
60,2,15,0,0,0.484882487274829,2.54181856635601e-05,2528
60,3,3,0.024,0,0.435410833333333,0.00127848194097222,5
60,3,4,0,0.000714285714285714,0.454600611369624,0.000490273685094575,56
60,3,5,0,0,0.462357484345913,0.000244321572713642,128
60,3,6,0.000210526315789474,0,0.467083200997252,0.000177056068095796,190
60,3,7,0.000179372197309417,0,0.465962432600814,0.000190788540812062,223
60,3,8,0,0,0.46788527527995,0.000170966398019672,212
60,3,9,0.000223463687150838,0,0.469991250313375,0.000126792002909512,179
60,3,10,0.00054421768707483,0,0.468420249092074,0.00017293446662095,147
60,3,11,0,0,0.469858315421942,0.00011507659850032,111
60,3,12,0,0,0.469732105019824,0.000160853201050735,94
60,3,13,0,0,0.467991187118959,0.000158965681774304,70
60,3,14,0,0,0.470912465896175,7.83300693190544e-05,55
60,3,15,4.74683544303797e-05,0,0.468587912209322,0.000132764559693434,2528
60,4,4,0.0957142857142857,0.0878571428571429,0.349857403526887,0.006914064179061,56
60,4,5,0.0125,0.01,0.424391133056977,0.00126646540469582,128
60,4,6,0.00589473684210526,0.00294736842105263,0.433717614101408,0.000984791746021689,190
60,4,7,0.00358744394618834,0.002152466367713,0.440592563732669,0.000678826475491104,223
60,4,8,0.00245283018867925,0.00132075471698113,0.445159403824938,0.000588170671746655,212
60,4,9,0.00379888268156425,0.00156424581005587,0.446098297186848,0.000724947164208149,179
60,4,10,0.00244897959183673,0.00136054421768707,0.445138076184964,0.000609013035175785,147
60,4,11,0.000720720720720721,0.00036036036036036,0.448990943974609,0.000413649417485838,111
60,4,12,0,0,0.449318608385782,0.000333616162064232,94
60,4,13,0.00171428571428571,0,0.444920762836781,0.000506541217354075,70
60,4,14,0.000727272727272727,0,0.448777837074955,0.000322939447642349,55
60,4,15,0.00107594936708861,0.000379746835443038,0.448073185204683,0.000451887617308311,2528
60,5,5,0.1346875,0.1065625,0.321143841378254,0.00562899477811033,128
60,5,6,0.04,0.0326315789473684,0.386252857565442,0.00307221888041166,190
60,5,7,0.0199103139013453,0.0134529147982063,0.403020398318504,0.00182333194024381,223
60,5,8,0.0133962264150943,0.00792452830188679,0.413462174444489,0.00131587555425223,212
60,5,9,0.00960893854748603,0.00536312849162011,0.418563309909351,0.00124027264273349,179
60,5,10,0.0122448979591837,0.00816326530612245,0.41645223165024,0.00155699287001634,147
