"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
16,1,20,0.32,0.201164572188623,0.841797349627674,100,0.0035,FALSE,1
16,2,11,0.309090909090909,-0.0587598922000479,0.711891216428719,100,0.0035,FALSE,1
16,3,8,0.4,0.522122685038925,1.01451979141179,100,0.0035,FALSE,1
16,4,4,0.5,1.15882062410266,1.35733834826408,100,0.0035,FALSE,1
16,5,1,-0.2,-0.930724338082255,0.292471567775911,100,0.0035,FALSE,1
17,1,20,0.32,0.306507398740472,0.891645895041398,20,0,TRUE,1
17,2,11,0.563636363636364,0.713577975680652,1.13334863475507,20,0,TRUE,1
17,3,8,0.8,0.719936523837778,1.1030497205112,20,0,TRUE,1
17,4,4,0.9,0.874604506584531,1.20653754163879,20,0,TRUE,1
17,5,1,0.8,1.17800898063554,1.39947047975695,20,0,TRUE,1
18,1,20,0.32,0.321204001161363,0.893728290915311,100,0,TRUE,1
18,2,14,0.357142857142857,0.00409284438063667,0.742490303937013,100,0,TRUE,1
18,3,12,0.35,0.266420869031625,0.890373846417162,100,0,TRUE,1
18,4,7,0.0571428571428571,0.248691086846477,0.855097299880021,100,0,TRUE,1
18,5,3,-0.2,0.175266903367519,0.813792484875046,100,0,TRUE,1
19,1,20,0.32,0.174338983822851,0.802070998577863,20,0.0035,TRUE,1
19,2,12,0.366666666666667,0.431902697580121,0.957301046235353,20,0.0035,TRUE,1
19,3,7,0.685714285714286,0.432277442351843,0.931454596731807,20,0.0035,TRUE,1
19,4,3,0.866666666666667,1.05866092939883,1.28395787554574,20,0.0035,TRUE,1
19,5,6,0.666666666666667,0.731020436775998,1.11603806605181,20,0.0035,TRUE,1
19,6,5,0.2,-0.268943504525981,0.574641360476823,20,0.0035,TRUE,1
19,7,4,0.15,0.2276561159376,0.87390920711245,20,0.0035,TRUE,1
19,8,3,0.266666666666667,0.210002698156021,0.84062802885185,20,0.0035,TRUE,1
19,9,2,0.2,0.463649833303555,0.956299501651985,20,0.0035,TRUE,1
19,10,1,0.4,0.588931410916059,1.02439455282033,20,0.0035,TRUE,1
20,1,20,0.32,0.274113281657439,0.856223005519494,100,0.0035,TRUE,1
20,2,25,-0.104,-0.143785892410915,0.688091476617445,100,0.0035,TRUE,1
20,3,21,0.00952380952380953,-0.213408169175454,0.697829248360424,100,0.0035,TRUE,1
20,4,8,0.075,0.411520103619356,0.961941284261081,100,0.0035,TRUE,1
20,5,7,0.0571428571428571,0.00153354562662372,0.753399897778073,100,0.0035,TRUE,1
20,6,2,0.7,0.944833807723266,1.24758089758998,100,0.0035,TRUE,1
21,1,20,0.32,-0.0872274434300788,0.715606776446813,20,0,FALSE,1
