"trial","gen","n","g","z","w","n.pop0","alpha","evolve","block","rep","design"
162,13,342,1.4140350877193,1.45095199033031,1.49202647866844,100,0,TRUE,4,3,2
162,14,513,1.46081871345029,1.5063410129325,1.51721871393756,100,0,TRUE,4,3,2
162,15,768,1.51380208333333,1.47160686632231,1.49830475753178,100,0,TRUE,4,3,2
163,1,20,0.31,0.07813500269728,0.79228327975076,20,0.0035,TRUE,4,3,2
163,2,9,0.222222222222222,-0.598318398489684,0.444861826704792,20,0.0035,TRUE,4,3,2
163,3,3,0.2,-0.178619953402457,0.679195227008567,20,0.0035,TRUE,4,3,2
163,4,2,0.2,0.585834542898401,1.07026298713751,20,0.0035,TRUE,4,3,2
164,1,100,-0.046,0.0343754695704518,0.780141593277598,100,0.0035,TRUE,4,3,2
164,2,61,0.118032786885246,0.162847731720677,0.829039906893632,100,0.0035,TRUE,4,3,2
164,3,49,0.0897959183673469,-0.0709576891300375,0.721077042804671,100,0.0035,TRUE,4,3,2
164,4,43,0.232558139534884,0.351404933619836,0.927231980558801,100,0.0035,TRUE,4,3,2
164,5,25,0.304,0.518208728412318,1.01472059039892,100,0.0035,TRUE,4,3,2
164,6,20,0.45,0.318536377211415,0.888966167122176,100,0.0035,TRUE,4,3,2
164,7,20,0.45,0.405987018751403,0.942182270603489,100,0.0035,TRUE,4,3,2
164,8,21,0.514285714285714,0.412466378201476,0.989567950267366,100,0.0035,TRUE,4,3,2
164,9,12,0.6,0.342431429895171,0.894630701926875,100,0.0035,TRUE,4,3,2
164,10,7,0.457142857142857,0.275052301674607,0.906512527161781,100,0.0035,TRUE,4,3,2
164,11,17,0.423529411764706,0.349947509035505,0.920423514908211,100,0.0035,TRUE,4,3,2
164,12,18,0.433333333333333,0.423434740537163,0.952675616977094,100,0.0035,TRUE,4,3,2
164,13,17,0.341176470588235,0.340857614251755,0.894785260698613,100,0.0035,TRUE,4,3,2
164,14,10,0.3,0.399353527484144,0.937152347842211,100,0.0035,TRUE,4,3,2
164,15,6,0.466666666666667,0.272114758150022,0.85886394875567,100,0.0035,TRUE,4,3,2
165,1,20,0.01,-0.359740127430508,0.550578300413154,20,0,FALSE,4,3,2
165,2,7,-0.0571428571428571,-0.0725215923982005,0.69149898592915,20,0,FALSE,4,3,2
165,3,5,-0.36,-0.572055566303504,0.49582325250162,20,0,FALSE,4,3,2
165,4,2,-0.7,-0.6910815826382,0.399306935960825,20,0,FALSE,4,3,2
166,1,100,0.16,0.22239989658164,0.857730735979717,100,0,FALSE,4,3,2
166,2,74,-0.124324324324324,-0.0283378759938362,0.749268912592332,100,0,FALSE,4,3,2
166,3,49,0.216326530612245,0.207922871966955,0.849463789643866,100,0,FALSE,4,3,2
166,4,49,-0.216326530612245,-0.180952697553984,0.678866542871058,100,0,FALSE,4,3,2
166,5,16,-0.05,-0.221361589672284,0.659881828614323,100,0,FALSE,4,3,2
166,6,9,-0.222222222222222,-0.627423529384866,0.508562075617633,100,0,FALSE,4,3,2
166,7,1,0.4,0.413273395131259,0.91600067509928,100,0,FALSE,4,3,2
167,1,20,-0.34,-0.406425469404233,0.611984277157611,20,0.0035,FALSE,4,3,2
167,2,12,-0.133333333333333,-0.181686394435919,0.698235590229027,20,0.0035,FALSE,4,3,2
167,3,12,0.0666666666666667,0.11581947378122,0.784915756051099,20,0.0035,FALSE,4,3,2
167,4,10,0.36,0.796208249225035,1.18467444527594,20,0.0035,FALSE,4,3,2
167,5,12,-0.0166666666666667,-0.219194066624019,0.627705037467694,20,0.0035,FALSE,4,3,2
167,6,1,-0.6,-1.66618352310014,0.126409534181873,20,0.0035,FALSE,4,3,2
168,1,100,0.128,0.0728413408392774,0.778874190850787,100,0.0035,FALSE,4,3,2
168,2,62,0.0612903225806452,0.103760168945224,0.822589838505268,100,0.0035,FALSE,4,3,2
168,3,30,-0.126666666666667,0.223753118076986,0.865275337120415,100,0.0035,FALSE,4,3,2
168,4,23,-0.0956521739130435,0.00638920471744443,0.784428083311722,100,0.0035,FALSE,4,3,2
168,5,4,0.25,-0.278998003195063,0.616043911868574,100,0.0035,FALSE,4,3,2
168,6,6,0.1,0.275552349812222,0.920506951696593,100,0.0035,FALSE,4,3,2
168,7,7,-0.0571428571428571,-0.158999049649267,0.708488685236697,100,0.0035,FALSE,4,3,2
168,8,1,-0.6,-1.17600062434123,0.224852724215705,100,0.0035,FALSE,4,3,2
169,1,20,0.2,-0.0613486495064834,0.703611726737574,20,0,TRUE,4,4,2
169,2,10,0.02,-0.253554921226213,0.591868732163137,20,0,TRUE,4,4,2
169,3,3,0.133333333333333,0.343189176335799,0.880022944483737,20,0,TRUE,4,4,2
169,4,1,-0.4,-0.918020725063264,0.296345549064962,20,0,TRUE,4,4,2
170,1,100,0.36,0.295311220696178,0.895621073823614,100,0,TRUE,4,4,2
170,2,94,0.44468085106383,0.399416203262641,0.940861438671269,100,0,TRUE,4,4,2
170,3,69,0.428985507246377,0.370816267039521,0.926669944740247,100,0,TRUE,4,4,2
170,4,55,0.556363636363636,0.668883065171386,1.09385400949466,100,0,TRUE,4,4,2
170,5,53,0.550943396226415,0.390474281089804,0.928219079777511,100,0,TRUE,4,4,2
170,6,43,0.609302325581395,0.687984449989575,1.10443274719314,100,0,TRUE,4,4,2
170,7,48,0.608333333333333,0.578981838208054,1.05395100868669,100,0,TRUE,4,4,2
170,8,69,0.744927536231884,0.7618120603513,1.15120304393229,100,0,TRUE,4,4,2
170,9,62,0.874193548387097,1.07634177036069,1.3099400315296,100,0,TRUE,4,4,2
170,10,98,1.1469387755102,1.13705584011663,1.32243736226964,100,0,TRUE,4,4,2
170,11,146,1.2013698630137,1.22104268515161,1.38095952290492,100,0,TRUE,4,4,2
170,12,176,1.375,1.28048111279142,1.40550151718904,100,0,TRUE,4,4,2
170,13,263,1.40456273764259,1.36199294826443,1.45468687357533,100,0,TRUE,4,4,2
170,14,391,1.44296675191816,1.4769703733096,1.49568189368066,100,0,TRUE,4,4,2
170,15,605,1.49818181818182,1.47410356429652,1.49990932341611,100,0,TRUE,4,4,2
171,1,20,0.11,0.183534560455882,0.813479063780162,20,0.0035,TRUE,4,4,2
171,2,14,0.242857142857143,0.149296675537509,0.814100009070045,20,0.0035,TRUE,4,4,2
